dataset,id,group,exact,rows,bytes,hits,like_re2,rich_re2,literal_re2,chain_re2,joint_like_re2,joint_rich_re2,like_atoms,like_offered_bytes,literal_atoms,literal_offered_bytes,chain_atoms,chain_offered_bytes,trained_atoms,trained_offered_bytes,warm_rows,warm_atoms,source_warm_atoms,tail_source_atoms,tail_trained_atoms,cascade_atoms,cascade_offered_bytes,reverse_atoms,reverse_offered_bytes,chain_nodes,chain_leaves,chain_tokens,chain_literal_bytes,chain_relaxations,literal_nodes,literal_leaves,literal_relaxations,like_branches,like_tokens,like_literal_bytes,chain_cache_hits,chain_node_visits,baseline_fallback,chain_fallback,literal_fallback,ordered_re2,ordered_joint_like_re2,ordered_joint_rich_re2,position_atoms,position_visits,position_node_visits,position_cache_hits,position_peak_buffer_bytes,position_peak_memo_entries,ordered_nodes,ordered_leaves,ordered_relaxations,ordered_cascade_atoms,ordered_cascade_offered_bytes
uap,user_agent_parsers:6,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,18213,1919759,18217,1920253,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18215,1920006,18215,1920006,1,1,10,18,0,4,3,0,1,11,18,0,18213,0,0,0,2,2,2,2,2241,2,0,272,1,1,1,0,18215,1920006
uap,user_agent_parsers:7,user_agent_parsers,0,18213,1919759,4,4,4,4,4,4,4,36423,3839138,18232,1922075,18228,1921592,21300,2161148,1024,4096,1024,17204,17204,18233,1922178,36436,3840690,6,4,19,25,0,7,5,0,2,22,35,0,36448,0,0,0,4,4,4,16,3550,24,0,274,6,6,4,0,18233,1922178
uap,user_agent_parsers:8,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18215,1920029,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919894,18214,1919894,1,1,10,19,0,4,3,0,1,11,19,0,18213,0,0,0,1,1,1,1,1224,1,0,272,1,1,1,0,18214,1919894
uap,user_agent_parsers:9,user_agent_parsers,0,18213,1919759,5,5,5,12,10,5,5,218523,23034960,54664,5761871,54664,5761871,66323,7987664,1024,7168,3074,51590,59155,54751,5772587,218549,23036626,10,7,25,39,0,10,7,0,12,114,206,0,91103,0,0,0,5,5,5,59,11324,86,0,328,10,10,7,0,54691,5763587
uap,user_agent_parsers:10,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,36425,3839474,36448,3841401,36430,3839734,20484,2089423,1024,3072,2048,34382,17412,36433,3839876,36430,3839709,5,3,12,28,0,6,4,0,2,12,39,0,72856,0,0,0,2,2,2,6,770,10,0,100,5,5,3,0,36433,3839876
uap,user_agent_parsers:11,user_agent_parsers,0,18213,1919759,12,12,12,12,12,12,12,145644,15351813,18261,1924397,18249,1923202,23372,2322693,1024,6144,1024,17225,17228,18285,1926503,145692,15356451,8,6,22,31,0,9,7,0,8,76,162,0,36474,0,0,0,12,12,12,72,16654,96,0,274,8,8,6,0,18285,1926503
uap,user_agent_parsers:12,user_agent_parsers,0,18213,1919759,8,8,8,20,20,8,8,582651,61423471,18276,1924529,18276,1924529,23404,2324225,1024,6144,1024,17252,17260,18751,1967200,582679,61424911,8,6,22,22,0,8,6,0,32,304,408,0,36511,0,0,0,20,8,8,120,21656,160,0,274,8,8,6,0,18751,1967200
uap,user_agent_parsers:13,user_agent_parsers,0,18213,1919759,0,0,0,0,0,0,0,36426,3839518,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18213,1919759,36426,3839518,1,1,7,19,0,4,3,0,2,19,39,0,18213,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18213,1919759
uap,user_agent_parsers:14,user_agent_parsers,0,18213,1919759,1,1,1,5,1,1,1,18213,1919759,18235,1920543,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919809,18214,1919809,1,1,9,19,0,4,3,0,1,8,19,0,18213,0,0,0,1,1,1,1,408,1,0,102,1,1,1,0,18214,1919809
uap,user_agent_parsers:15,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18219,1920068,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919811,18214,1919811,1,1,15,22,0,5,4,0,1,15,22,0,18213,0,0,0,1,1,1,1,742,1,0,106,1,1,1,0,18214,1919811
uap,user_agent_parsers:16,user_agent_parsers,0,18213,1919759,0,0,0,0,0,0,0,18213,1919759,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18213,1919759,18213,1919759,1,1,6,18,0,4,3,0,1,6,18,0,18213,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18213,1919759
uap,user_agent_parsers:17,user_agent_parsers,0,18213,1919759,0,0,0,0,0,0,0,18213,1919759,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18213,1919759,18213,1919759,1,1,6,25,0,4,3,0,1,6,25,0,18213,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18213,1919759
uap,user_agent_parsers:18,user_agent_parsers,0,18213,1919759,0,0,0,0,0,0,0,18213,1919759,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18213,1919759,18213,1919759,1,1,12,32,0,5,4,0,1,12,32,0,18213,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18213,1919759
uap,user_agent_parsers:19,user_agent_parsers,0,18213,1919759,20,20,20,20,20,20,20,145600,15352532,18233,1920819,18233,1920819,19247,2000141,1024,2048,1034,17199,17199,18289,1923759,145640,15354652,3,2,7,16,0,3,2,0,8,84,140,0,36446,0,0,0,20,20,20,40,4688,60,0,120,3,3,2,0,18289,1923759
uap,user_agent_parsers:20,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,145692,15357352,18215,1919879,18215,1919879,19238,1999671,1024,2048,1025,17190,17190,18219,1920119,145696,15357592,3,2,7,18,0,3,2,0,8,84,156,0,36428,0,0,0,2,2,2,4,514,6,0,122,3,3,2,0,18219,1920119
uap,user_agent_parsers:21,user_agent_parsers,0,18213,1919759,140,142,140,145,145,142,140,145143,15330990,33732,3757598,33722,3757445,19351,2004744,1024,2048,1915,31807,17303,34321,3784507,145427,15344138,3,2,7,11,0,3,2,0,8,84,100,0,51935,0,0,0,142,142,140,290,31609,435,0,150,3,3,2,0,34297,3782955
uap,user_agent_parsers:22,user_agent_parsers,0,18213,1919759,9,9,9,11,10,9,9,72826,7678070,18224,1920151,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18227,1920161,72835,7678396,1,1,4,9,0,3,2,0,4,28,40,0,18213,0,0,0,10,9,9,10,1056,10,0,88,1,1,1,0,18227,1920161
uap,user_agent_parsers:23,user_agent_parsers,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,0,1,1,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:24,user_agent_parsers,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,13,0,1,1,0,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:25,user_agent_parsers,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,0,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:26,user_agent_parsers,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,13,0,1,1,0,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:27,user_agent_parsers,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,12,0,4,3,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:28,user_agent_parsers,0,18213,1919759,148,148,148,148,148,148,148,54349,5745741,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18367,1926854,54497,5752618,1,1,3,9,0,1,1,0,3,22,32,0,18213,0,0,0,148,148,148,148,14050,148,0,150,1,1,1,0,18367,1926854
uap,user_agent_parsers:29,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,18213,1919759,18215,1919865,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18215,1919865,18215,1919865,1,1,7,25,0,3,2,0,1,8,25,0,18213,0,0,0,2,2,2,2,648,2,0,108,1,1,1,0,18215,1919865
uap,user_agent_parsers:30,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,18213,1919759,18217,1920179,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18215,1919969,18215,1919969,1,1,10,13,0,4,3,0,1,11,13,0,18213,0,0,0,2,2,2,2,1908,2,0,212,1,1,1,0,18215,1919969
uap,user_agent_parsers:31,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18215,1920151,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919955,18214,1919955,1,1,7,18,0,4,3,0,1,8,18,0,18213,0,0,0,1,1,1,1,1182,1,0,394,1,1,1,0,18214,1919955
uap,user_agent_parsers:32,user_agent_parsers,0,18213,1919759,8,8,8,8,8,8,8,36420,3838802,34245,3804096,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18223,1921091,36428,3839826,1,1,4,6,0,4,3,0,2,11,13,0,18213,0,0,0,8,8,8,8,3096,8,0,332,1,1,1,0,18223,1921091
uap,user_agent_parsers:33,user_agent_parsers,1,18213,1919759,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,20,0,4,3,0,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:34,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18215,1919815,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919787,18214,1919787,1,1,7,16,0,4,3,0,1,8,16,0,18213,0,0,0,1,1,1,1,174,1,0,58,1,1,1,0,18214,1919787
uap,user_agent_parsers:35,user_agent_parsers,0,18213,1919759,3,3,3,3,3,3,3,18213,1919759,18219,1920911,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18216,1920335,18216,1920335,1,1,7,16,0,4,3,0,1,8,16,0,18213,0,0,0,3,3,3,3,3474,3,0,434,1,1,1,0,18216,1920335
uap,user_agent_parsers:36,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18215,1919801,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919780,18214,1919780,1,1,7,9,0,4,3,0,1,8,9,0,18213,0,0,0,1,1,1,1,132,1,0,44,1,1,1,0,18214,1919780
uap,user_agent_parsers:37,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,54194,7142125,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919879,18214,1919879,1,1,18,36,0,7,6,0,1,13,23,0,18213,0,0,0,1,1,1,1,2057,1,0,242,1,1,1,0,18214,1919879
uap,user_agent_parsers:38,user_agent_parsers,0,18213,1919759,4,4,4,4,4,4,4,36422,3839039,18221,1920717,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18217,1920238,36426,3839518,1,1,8,12,0,4,3,0,2,17,24,0,18213,0,0,0,4,4,4,4,3381,4,0,246,1,1,1,0,18217,1920238
uap,user_agent_parsers:39,user_agent_parsers,1,18213,1919759,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,12,0,1,1,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:40,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18215,1919905,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919832,18214,1919832,1,1,7,21,0,4,3,0,1,8,21,0,18213,0,0,0,1,1,1,1,444,1,0,148,1,1,1,0,18214,1919832
uap,user_agent_parsers:41,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18298,1929919,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919813,18214,1919813,1,1,5,20,0,3,2,0,1,5,20,0,18213,0,0,0,1,1,1,1,220,1,0,110,1,1,1,0,18214,1919813
uap,user_agent_parsers:42,user_agent_parsers,1,18213,1919759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,30,0,1,1,0,1,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:43,user_agent_parsers,1,18213,1919759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,72,0,1,1,0,1,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
uap,user_agent_parsers:44,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18215,1919787,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919773,18214,1919773,1,1,7,12,0,4,3,0,1,8,12,0,18213,0,0,0,1,1,1,1,90,1,0,30,1,1,1,0,18214,1919773
uap,user_agent_parsers:45,user_agent_parsers,0,18213,1919759,16,18213,18213,578,578,578,578,0,0,139020,16317574,139598,16369673,142861,16555032,1024,10240,6712,132886,132621,139598,16369673,139598,16369673,12,10,35,51,0,11,9,0,1,1,0,0,173330,1,0,0,436,436,436,5660,1076008,6816,0,868,12,12,10,0,139598,16369673
uap,user_agent_parsers:46,user_agent_parsers,0,18213,1919759,44,18213,18213,182,182,182,182,0,0,530717,59290420,530717,59290420,500359,59705457,1024,41984,24166,506551,458375,530717,59290420,530717,59290420,63,41,125,210,0,63,41,0,1,1,0,0,826740,1,0,0,166,166,166,5462,1299881,8412,0,778,60,63,41,0,530717,59290420
uap,user_agent_parsers:47,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,54637,5759073,21364,2249889,18992,2001669,19237,1999611,1024,2048,1079,17913,17189,18996,2001948,54641,5759395,3,2,12,19,0,6,5,0,3,36,57,0,37205,0,0,0,2,2,2,4,1366,6,0,206,3,3,2,0,18996,2001948
uap,user_agent_parsers:48,user_agent_parsers,0,18213,1919759,3,3,3,3,3,3,3,36423,3839315,18219,1920165,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18216,1919962,36426,3839518,1,1,7,10,0,4,3,0,2,19,21,0,18213,0,0,0,3,3,3,3,1236,3,0,140,1,1,1,0,18216,1919962
uap,user_agent_parsers:49,user_agent_parsers,0,18213,1919759,25,18213,18213,25,25,25,25,0,0,291209,30706824,291209,30706824,297493,31193587,1024,22528,16266,274943,274965,291209,30706824,291209,30706824,25,22,66,194,0,25,22,0,1,1,0,0,327612,1,0,0,25,25,25,406,32240,457,0,380,25,25,22,0,291209,30706824
uap,user_agent_parsers:50,user_agent_parsers,0,18213,1919759,3,3,3,3,3,3,3,145690,15356266,18256,1923188,18247,1922183,20281,2081010,1024,3072,1024,17223,17209,18257,1923057,145699,15357271,4,3,18,42,0,7,6,0,8,136,356,0,36460,0,0,0,3,3,3,9,2311,12,0,412,4,4,3,0,18257,1923057
uap,user_agent_parsers:51,user_agent_parsers,0,18213,1919759,340,18213,18213,577,577,577,577,0,0,2645915,298521914,2645255,298441082,2661964,292683644,1024,239616,117528,2527727,2422348,2645255,298441082,2645255,298441082,359,234,724,1709,0,373,241,0,13,97,30,110615,4045192,1,0,0,408,408,408,75195,12802448,111978,2308,986,292,359,234,0,2645255,298441082
uap,user_agent_parsers:52,user_agent_parsers,0,18213,1919759,19,19,19,19,19,19,19,546074,57560598,72934,7688281,72917,7686603,90321,10056315,1024,15360,4096,68821,74961,73171,7713051,546215,57575981,23,15,49,57,0,20,14,0,30,299,393,0,127596,0,0,0,19,19,19,205,42066,318,0,510,23,23,15,0,73171,7713051
uap,user_agent_parsers:53,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18215,1919909,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919834,18214,1919834,1,1,13,7,0,4,3,0,1,14,7,0,18213,0,0,0,1,1,1,1,912,1,0,152,1,1,1,0,18214,1919834
uap,user_agent_parsers:54,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,1165506,122861678,18215,1919805,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18215,1919805,1165508,122861724,1,1,8,5,0,3,2,0,64,544,448,0,18213,0,0,0,2,2,2,2,336,2,0,50,1,1,1,0,18215,1919805
uap,user_agent_parsers:55,user_agent_parsers,0,18213,1919759,1,1,1,1,1,1,1,18213,1919759,18215,1919861,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18214,1919810,18214,1919810,1,1,7,6,0,4,3,0,1,8,6,0,18213,0,0,0,1,1,1,1,312,1,0,104,1,1,1,0,18214,1919810
uap,user_agent_parsers:56,user_agent_parsers,0,18213,1919759,0,0,0,0,0,0,0,36426,3839518,18213,1919759,18213,1919759,21285,2159315,1024,4096,1024,17189,17189,18213,1919759,36426,3839518,7,4,23,25,0,7,4,0,2,31,44,0,36426,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,18213,1919759
uap,user_agent_parsers:57,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,145694,15355613,18493,1964703,18493,1964703,22492,2277194,1024,5120,1031,17462,17372,18499,1965932,145703,15357649,8,5,16,41,0,8,5,0,8,76,212,0,36938,0,0,0,2,2,2,10,2575,16,0,540,8,8,5,0,18499,1965932
uap,user_agent_parsers:58,user_agent_parsers,0,18213,1919759,46,46,46,46,46,46,46,72714,7650314,18353,1948943,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18259,1929333,72760,7659888,1,1,6,9,0,5,4,0,4,40,40,0,18213,0,0,0,46,46,46,46,48100,46,0,554,1,1,1,0,18259,1929333
uap,user_agent_parsers:59,user_agent_parsers,0,18213,1919759,47,47,47,47,47,47,47,18213,1919759,18260,1929564,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18260,1929564,18260,1929564,1,1,5,4,0,3,2,0,1,5,4,0,18213,0,0,0,47,47,47,47,39408,47,0,554,1,1,1,0,18260,1929564
uap,user_agent_parsers:60,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,36424,3839300,18217,1920195,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18215,1919977,36426,3839518,1,1,7,13,0,4,3,0,2,19,27,0,18213,0,0,0,2,2,2,2,1320,2,0,220,1,1,1,0,18215,1919977
uap,user_agent_parsers:61,user_agent_parsers,0,18213,1919759,288,18213,17916,960,960,960,788,23774,2038727,108046,11412516,109006,11484986,109107,11487297,1024,7168,6078,102928,101939,110312,11566579,132780,13523713,9,7,22,30,0,7,6,0,3,21,3,0,145432,0,0,0,913,913,773,6720,1005513,8640,0,986,9,9,7,0,110202,11563991
uap,user_agent_parsers:62,user_agent_parsers,0,18213,1919759,218,481,479,504,481,481,479,465636,49171824,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,22817,2385445,466117,49218270,1,1,6,2,0,1,1,0,26,302,108,0,18213,0,0,0,481,481,479,481,234635,481,0,868,1,1,1,0,22817,2385445
uap,user_agent_parsers:63,user_agent_parsers,0,18213,1919759,609,18213,18213,18213,18213,18213,18213,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,18213,1,1,1,18213,18213,18213,0,0,18213,0,0,1,1,0,0,0,0
uap,user_agent_parsers:64,user_agent_parsers,0,18213,1919759,97,97,97,107,97,97,97,18213,1919759,18534,1958627,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18310,1931467,18310,1931467,1,1,12,10,0,5,4,0,1,12,10,0,18213,0,0,0,97,97,97,97,129855,97,0,524,1,1,1,0,18310,1931467
uap,user_agent_parsers:65,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,582786,61429800,72854,7679208,72852,7679040,73876,7758892,1024,5120,4096,68756,68756,72886,7681928,582794,61430476,7,5,19,32,0,8,6,0,32,352,336,0,109278,0,0,0,2,2,2,10,1450,14,0,174,7,7,5,0,72886,7681928
uap,user_agent_parsers:66,user_agent_parsers,0,18213,1919759,3,3,3,3,3,3,3,36425,3839419,18219,1920345,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18218,1920246,36428,3839712,1,1,7,17,0,4,3,0,2,19,35,0,18213,0,0,0,3,3,3,3,1776,3,0,200,1,1,1,0,18218,1920246
uap,user_agent_parsers:67,user_agent_parsers,0,18213,1919759,3,3,3,3,3,3,3,18213,1919759,18404,1945707,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18216,1920162,18216,1920162,1,1,6,12,0,5,4,0,1,6,12,0,18213,0,0,0,3,3,3,3,2030,3,0,312,1,1,1,0,18216,1920162
uap,user_agent_parsers:68,user_agent_parsers,0,18213,1919759,12,15,12,17,17,15,12,218493,23034218,18230,1920971,18230,1920971,19254,2000823,1024,2048,1024,17206,17206,18371,1932625,218523,23036074,3,2,7,10,0,3,2,0,12,96,256,0,36443,0,0,0,17,15,12,34,4087,51,0,412,3,3,2,0,18371,1932625
uap,user_agent_parsers:69,user_agent_parsers,0,18213,1919759,6,6,6,6,6,6,6,18213,1919759,36912,4554066,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18219,1921151,18219,1921151,1,1,17,24,0,5,4,0,1,18,24,0,18213,0,0,0,6,6,6,6,22368,6,0,522,1,1,1,0,18219,1921151
uap,user_agent_parsers:70,user_agent_parsers,0,18213,1919759,42,42,42,42,42,42,42,18213,1919759,18297,1929719,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18255,1924739,18255,1924739,1,1,10,12,0,4,3,0,1,11,12,0,18213,0,0,0,42,42,42,42,45198,42,0,522,1,1,1,0,18255,1924739
uap,user_agent_parsers:71,user_agent_parsers,0,18213,1919759,6,9,6,9,9,9,6,18213,1919759,36915,4554135,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18222,1921220,18222,1921220,1,1,17,24,0,5,4,0,1,18,24,0,18213,0,0,0,9,9,6,9,23520,9,0,370,1,1,1,0,18222,1921220
uap,user_agent_parsers:72,user_agent_parsers,0,18213,1919759,3,3,3,3,3,3,3,18213,1919759,36909,4553205,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18216,1920290,18216,1920290,1,1,17,33,0,5,4,0,1,18,33,0,18213,0,0,0,3,3,3,3,8544,3,0,356,1,1,1,0,18216,1920290
uap,user_agent_parsers:73,user_agent_parsers,0,18213,1919759,3,3,3,3,3,3,3,18213,1919759,36912,4553748,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18216,1920296,18216,1920296,1,1,17,34,0,6,5,0,1,18,34,0,18213,0,0,0,3,3,3,3,8640,3,0,360,1,1,1,0,18216,1920296
uap,user_agent_parsers:74,user_agent_parsers,0,18213,1919759,2,2,2,2,2,2,2,18213,1919759,18217,1920145,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18215,1919952,18215,1919952,1,1,13,12,0,4,3,0,1,14,12,0,18213,0,0,0,2,2,2,2,2340,2,0,294,1,1,1,0,18215,1919952
