input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item
zen5,count/census-income/direct4/cp16/point/cps/masked25,1,5,"[1639.2243896739708,1641.1307090292203,1640.36911575747,1641.2778880972294,1642.7788809720046]",1641.1307090292203,"[1639.2422614169147,1642.2630533585946,1640.3869875053938,1641.2957598488879,1643.080598050405]",1641.2957598488879,,
zen5,count/census-income/direct4/cp16/point/cps/scan,1,5,"[6532.858477346306,6537.342363381828,6533.096683793348,6530.990191499969,6529.537599252642]",6532.858477346306,"[6532.924801447948,6541.182625073741,6535.036431497964,6531.061186270154,6529.60859409252]",6532.924801447948,,
zen5,count/census-income/direct4/cp16/point/cps/sparse17,1,5,"[427.67384181997363,427.57585964053413,428.2311154659235,428.1450748645097,427.6040295170754]",427.67384181997363,"[427.6784959717089,427.5805137980349,429.85281240126426,428.2820355864342,427.60898987413395]",427.6784959717089,,
zen5,count/census-income/direct4/cp16/point/cps_fused/masked25,1,5,"[1643.7044867276277,1641.259102654385,1643.5388771434812,1644.1331923888938,1645.217289171066]",1643.7044867276277,"[1643.7224571091074,1641.277073045462,1644.34731030708,1644.1523373002701,1645.236434154214]",1644.1523373002701,,
zen5,count/census-income/direct4/cp16/point/cps_fused/scan,1,5,"[6590.772491757604,6591.540273198896,6591.756947713935,6582.910975034813,6584.719736222534]",6590.772491757604,"[6590.844088532065,6591.612341020016,6595.0414507060195,6582.982571839397,6584.79604322763]",6590.844088532065,,
zen5,count/census-income/direct4/cp16/point/cps_fused/sparse17,1,5,"[429.6253150550385,429.3247064608683,429.1661031535401,429.1424356058605,428.6152947685376]",429.1661031535401,"[430.57057232394374,429.32940923385075,429.17046782227254,429.14713837742335,428.71494436495414]",429.17046782227254,,
zen5,count/census-income/direct4/cp16/point/inline/masked25,1,5,"[1119.096578190049,1121.9419571474787,1119.4363607292182,1118.3538535337273,1118.719219699504]",1119.096578190049,"[1121.2690278137181,1122.1156060308335,1121.7695074856367,1118.3660856751899,1118.8953469860858]",1121.2690278137181,,
zen5,count/census-income/direct4/cp16/point/inline/scan,1,5,"[4344.582686937785,4348.3524666460935,4347.989450822052,4349.3112007436175,4344.412038472729]",4347.989450822052,"[4344.629847897929,4353.593546477402,4348.964629171266,4349.3583617875365,4344.459509811962]",4348.964629171266,,
zen5,count/census-income/direct4/cp16/point/inline/sparse17,1,5,"[313.2790296954508,312.5640566607799,313.298946002185,313.71763600157277,314.1327455411818]",313.298946002185,"[313.28265491217127,312.5674580911221,313.30236981310486,313.76268265203436,314.13616935718983]",313.30236981310486,,
zen5,count/census-income/direct4/cp16/point/materialized/masked25,1,5,"[1123.0485359007691,1122.6626554351749,1122.166064982145,1122.7404733254357,1122.6610509424631]",1122.6626554351749,"[1125.9071801230284,1122.666105095646,1122.1783393659275,1123.002246274913,1122.6732450850789]",1122.6732450850789,,
zen5,count/census-income/direct4/cp16/point/materialized/scan,1,5,"[4408.394711992679,4404.8253068934155,4402.861189801456,4404.6773685868975,4405.681145735452]",4404.8253068934155,"[4410.444444390621,4404.870317975327,4402.909348490398,4404.725212489976,4406.607491359659]",4404.870317975327,,
zen5,count/census-income/direct4/cp16/point/materialized/sparse17,1,5,"[315.8631502955329,315.90894734469106,316.12011009341546,316.00595587242896,315.9509091729889]",315.9509091729889,"[315.86657943054377,315.9123764877971,316.2634119886444,316.00961061437647,315.9545639122914]",315.9545639122914,,
zen5,count/census-income/direct4/cp16/point/shared/masked25,1,5,"[1196.9994875301406,1194.9000683294569,1197.0490263065926,1197.0575674754277,1197.4624188589123]",1197.0490263065926,"[1199.2862145208749,1194.9121967917577,1197.7196788782203,1197.070550067387,1197.475486852853]",1197.475486852853,,
zen5,count/census-income/direct4/cp16/point/shared/scan,1,5,"[4770.088525706366,4766.343207354085,4769.632277834137,4767.783452501608,4767.398706162632]",4767.783452501608,"[4770.143683994624,4766.394960814453,4772.237998068281,4767.886278507329,4767.45080008837]",4767.886278507329,,
zen5,count/census-income/direct4/cp16/point/shared/sparse17,1,5,"[334.31253727789397,334.67636884170224,333.50924490045054,334.3359179291124,334.02218776089325]",334.31253727789397,"[335.1896218510401,334.6800190806984,333.51287128901134,334.3395443090277,334.07496123402166]",334.3395443090277,,
