footprint,layout,rows,phase,extension_phase,line_bytes,seed,rep,pattern,k,extension_denominator,compute_rounds,prefetch_extension,allocated_bytes,reserved_bytes,operations,extension_operations,useful_bytes,model_lines,model_pages,passes,elapsed_ns,ns_per_operation,checksum,logical_checksum,target_ns,calibration_batches,order_fingerprint
hot-control,split64+32,128,0,0,64,12971,0,random,32,1,0,0,12288,28672,1540864,1540864,147922944,3081728,3081728,12038,3281083,2.1293787122,13243554362811311688,11970490240414364428,3000000,1,15295875633198626127
hot-control,split64+32,128,0,0,64,12971,0,random,8,0,0,0,12288,28672,2910336,0,186261504,2910336,2910336,22737,3306212,1.13602415666,12726294765993823964,9306279668391368732,3000000,1,15295875633198626127
hot-control,split64+32,128,0,0,64,12971,0,random,1,0,0,0,12288,28672,1909248,0,122191872,1909248,1909248,14916,3293293,1.72491630213,718379061280096112,9306279668391368732,3000000,1,15295875633198626127
hot-control,split64+32,128,0,0,64,12971,0,random,32,8,0,0,12288,28672,2120192,265024,144173056,2385216,2385216,16564,3255332,1.53539490763,3319364092136493360,17616150514491054332,3000000,1,15295875633198626127
hot-control,split64+32,128,0,0,64,12971,0,random,8,1,0,0,12288,28672,1687168,1687168,161968128,3374336,3374336,13181,3292053,1.95123010868,8029796463942553820,11970490240414364428,3000000,1,15295875633198626127
hot-control,split64+32,128,0,0,64,12971,0,random,32,0,0,0,12288,28672,2530688,0,161964032,2530688,2530688,19771,3319193,1.31157732601,6629932586683382388,9306279668391368732,3000000,1,15295875633198626127
hot-control,split64+32,128,0,0,64,12971,0,random,8,8,0,0,12288,28672,2273664,284208,154609152,2557872,2557872,17763,3295272,1.44932232731,3561866569474037108,17616150514491054332,3000000,1,15295875633198626127
hot-control,split64+32,128,0,0,64,12971,0,random,1,1,0,0,12288,28672,1546240,1546240,148439040,3092480,3092480,12080,3301222,2.13499974131,17942054470056724032,11970490240414364428,3000000,1,15295875633198626127
hot-control,split64+32,128,0,0,64,12971,0,random,1,8,0,0,12288,28672,1753472,219184,119236096,1972656,1972656,13699,3284323,1.87303988886,3339925744599053556,17616150514491054332,3000000,1,15295875633198626127
hot-control,dense96,128,0,0,64,12971,0,random,1,8,0,0,12288,20480,1587840,198480,107973120,2468595,1600245,12405,3304342,2.08102957477,8216835098180545324,17616150514491054332,3000000,1,15295875633198626127
hot-control,dense96,128,0,0,64,12971,0,random,8,8,0,0,12288,20480,2390912,298864,162582016,3717121,2409591,18679,3293532,1.37752121366,17501417421131692836,17616150514491054332,3000000,1,15295875633198626127
hot-control,dense96,128,0,0,64,12971,0,random,1,1,0,0,12288,20480,1591680,1591680,152801280,3183360,1616550,12435,3297582,2.07176191194,6268208790249672676,11970490240414364428,3000000,1,15295875633198626127
