scenario,policy,topology,mode,samples,source,size_bytes,chunk_bytes,mtu,rate_per_s,deadline_us,complete,deadline_pct,usd_per_object,usd_per_GiB,wire_amplification,retries,repairs,duplicates,drops,rejected,peak_active,reserved_payload_bytes,rewrites,delivery_p50_us,delivery_p90_us,delivery_p99_us,delivery_p99.9_us,control_p50_us,control_p90_us,control_p99_us,control_p99.9_us,confirmed_p50_us,confirmed_p90_us,confirmed_p99_us,confirmed_p99.9_us,first_p50_us,first_p90_us,first_p99_us,first_p99.9_us,remote_p50_us,remote_p90_us,remote_p99_us,remote_p99.9_us,max_depth,total_depth
regional-small,balanced,regional,propagate,384,a0,4096,65536,1500,10000,600,384,100.0,2.739199999999976e-07,0.07180648447999938,10.625,0,0,0,0,0,13,479232,0,241.6097961997218,261.501975957328,282.90838843694235,288.45917653904286,187.95068760315462,193.14659455188954,197.98708527754104,203.0158777780317,422.47369090382324,441.4581741262491,464.2353735927035,487.5880789674236,47.351379280641595,61.41183088902489,80.07222134945017,92.40893112691272,188.77737634059213,203.60518044268545,225.80913379572414,233.34802607756507,3,16
regional-small,latency,regional,propagate,384,a0,4096,65536,1500,10000,600,384,100.0,2.739199999999976e-07,0.07180648447999938,10.625,0,0,0,0,0,13,479232,0,241.6097961997218,261.501975957328,282.90838843694235,288.45917653904286,187.95068760315462,193.14659455188954,197.98708527754104,203.0158777780317,422.47369090382324,441.4581741262491,464.2353735927035,487.5880789674236,47.351379280641595,61.41183088902489,80.07222134945017,92.40893112691272,188.77737634059213,203.60518044268545,225.80913379572414,233.34802607756507,3,16
regional-small,shallow,regional,propagate,384,a0,4096,65536,1500,10000,600,384,100.0,2.739199999999977e-07,0.07180648447999939,10.625,0,0,0,0,0,13,479232,0,250.59575503087365,272.1494097124713,302.6926337931164,309.7829537161514,188.25927267165605,192.7890212453989,197.90511339910438,203.043138525114,431.4758379043242,453.4918748776409,484.6143383518121,495.0932778976414,48.32809397238748,70.2565989303549,99.19154925051755,108.25887544465878,157.7347888324448,176.71261542950168,207.01462898104336,211.83351939463424,2,12
regional-small,direct,regional,propagate,384,a0,4096,65536,1500,10000,600,384,100.0,6.527999999999919e-07,0.17112760319999787,10.625,0,0,0,0,0,13,479232,0,227.80676479962767,271.95137226212836,333.8103145844799,379.2435792036509,188.5703970944619,193.51268584008986,198.64787415967737,203.043138525114,410.1804253918789,453.481783602648,513.1866920994539,557.6011315319231,49.19697875276813,98.49898142137471,154.2462524782669,212.86780837399863,161.63610077612117,203.8511333326751,262.1524657196193,317.1098655007211,1,8
regional-small,shortest,regional,propagate,384,a0,4096,65536,1500,10000,600,384,100.0,6.527999999999919e-07,0.17112760319999787,10.625,0,0,0,0,0,13,479232,0,227.80676479962767,271.95137226212836,333.8103145844799,379.2435792036509,188.5703970944619,193.51268584008986,198.64787415967737,203.043138525114,410.1804253918789,453.481783602648,513.1866920994539,557.6011315319231,49.19697875276813,98.49898142137471,154.2462524782669,212.86780837399863,161.63610077612117,203.8511333326751,262.1524657196193,317.1098655007211,1,8
regional-small,cost,regional,propagate,384,a0,4096,65536,1500,10000,600,384,100.0,2.739199999999976e-07,0.07180648447999938,10.625,0,0,0,0,0,13,479232,0,284.02448407826796,307.65877809768114,337.33877574847014,345.45730768407014,188.16618017689143,193.09127791169885,197.90511339910438,203.043138525114,464.36712872654994,486.9977753167619,515.4813372853989,527.8167084645961,48.097279377336235,69.51153687834358,97.54695239437599,107.51009107838895,157.6603276947153,176.76854437900874,204.37322047730646,210.37022770055387,3,14
regional-small,bounded,regional,propagate,384,a0,4096,65536,1500,10000,600,384,100.0,2.739199999999977e-07,0.07180648447999939,10.625,0,0,0,0,0,13,479232,0,250.65709239124774,272.07328821529677,302.68819901643843,309.71395680638506,188.1958987513226,193.16446425304187,197.90511339910438,203.17060092511403,431.4847615122412,453.15354171567196,484.8771765489324,495.0932778976414,48.39793726151902,70.18326556894507,99.24500908941154,108.25031868299205,157.7248906212426,176.86570992669516,207.00827489382064,211.8228870368629,2,12
regional-bulk,balanced,regional,propagate,96,a0,1048576,65536,1500,100,10000,96,100.0,4.7147520000000864e-05,0.048279060480000885,8.98193359375,0,0,0,0,0,3,28311552,0,2428.580699585633,3669.120397218901,5322.205788975345,5516.795160547784,187.75203836575747,199.31875524828502,225.8865048658321,226.4957743158621,2559.019940841972,3802.6175846430697,5455.848102324975,5647.757759779953,177.03291060409538,309.5914961413946,878.5125332808644,929.928098780092,2116.0517183872144,3259.699140776069,4764.350216134372,4988.315430751773,3,16
regional-bulk,latency,regional,propagate,96,a0,1048576,65536,1500,100,10000,96,100.0,4.7147520000000864e-05,0.048279060480000885,8.98193359375,0,0,0,0,0,3,28311552,0,2428.580699585633,3669.120397218901,5322.205788975345,5516.795160547784,187.75203836575747,199.31875524828502,225.8865048658321,226.4957743158621,2559.019940841972,3802.6175846430697,5455.848102324975,5647.757759779953,177.03291060409538,309.5914961413946,878.5125332808644,929.928098780092,2116.0517183872144,3259.699140776069,4764.350216134372,4988.315430751773,3,16
regional-bulk,shallow,regional,propagate,96,a0,1048576,65536,1500,100,10000,96,95.83333333333333,4.714752000000086e-05,0.04827906048000088,8.98193359375,0,0,0,0,0,4,37748736,0,4201.174744485834,7379.973533315562,11902.201515680987,12866.734419527935,188.74432489405444,203.80203837126285,214.40992563590405,226.1540557329865,4388.756316715953,7558.129559604582,12082.03875558793,13045.676899179698,217.9392951449263,907.0182100349775,2361.241703808901,2623.281820062053,3946.442465650296,7119.932606561277,11566.43165241517,12607.095141313002,2,12
