dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,none,intersection,plain,complete,0,8,16384,131072,0,0,0,0,65536,65536,65536,0,7259931,55.3889,20256698,74449174,7312694,7312694,available,0,0,unestablished
structural,none,intersection,plain,complete,1,8,16384,131072,0,0,0,0,65536,65536,65536,0,7326503,55.8968,20357519,74449174,7342065,7342065,available,0,0,unestablished
structural,none,intersection,plain,complete,2,8,16384,131072,0,0,0,0,65536,65536,65536,0,7360127,56.1533,20468210,74449174,7372708,7372708,available,0,0,unestablished
structural,none,intersection,plain,complete,3,8,16384,131072,0,0,0,0,65536,65536,65536,0,7251337,55.3233,20155308,74449174,7263609,7263609,available,0,0,unestablished
structural,none,intersection,plain,complete,4,8,16384,131072,0,0,0,0,65536,65536,65536,0,7316820,55.8229,20351559,74449174,7329142,7329142,available,0,0,unestablished
structural,none,intersection,plain,selected,0,8,262144,2097152,0,0,0,0,65536,65536,65536,1649965372706586624,5389978,2.57014,15050890,42205462,5419211,5419211,available,0,0,unestablished
structural,none,intersection,plain,selected,1,8,262144,2097152,0,0,0,0,65536,65536,65536,1649965372706586624,5437249,2.59268,15098892,42205462,5450513,5450513,available,0,0,unestablished
structural,none,intersection,plain,selected,2,8,262144,2097152,0,0,0,0,65536,65536,65536,1649965372706586624,5320411,2.53697,14776397,42205462,5332729,5332729,available,0,0,unestablished
structural,none,intersection,plain,selected,3,8,262144,2097152,0,0,0,0,65536,65536,65536,1649965372706586624,5433204,2.59075,15087679,42205462,5446315,5446315,available,0,0,unestablished
structural,none,intersection,plain,selected,4,8,262144,2097152,0,0,0,0,65536,65536,65536,1649965372706586624,5409330,2.57937,15026536,42205462,5421737,5421737,available,0,0,unestablished
structural,none,intersection,local-point,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8151868,62.1938,22767424,79298838,8180645,8180645,available,0,0,unestablished
structural,none,intersection,local-point,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8128928,62.0188,22609019,79298838,8141663,8141663,available,0,0,unestablished
structural,none,intersection,local-point,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8046288,61.3883,22380720,79298838,8061919,8061919,available,0,0,unestablished
structural,none,intersection,local-point,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8071642,61.5817,22466547,79298838,8084028,8084028,available,0,0,unestablished
structural,none,intersection,local-point,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,8083489,61.6721,22370634,79298838,8079978,8079978,available,0,0,unestablished
structural,none,intersection,local-frame,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8083575,61.6728,22566758,79298838,8110341,8110341,available,0,0,unestablished
structural,none,intersection,local-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8181774,62.422,22753851,79298838,8198922,8198922,available,0,0,unestablished
structural,none,intersection,local-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8097551,61.7794,22527716,79298838,8109805,8109805,available,0,0,unestablished
structural,none,intersection,local-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8165164,62.2953,22578179,79298838,8161231,8161231,available,0,0,unestablished
structural,none,intersection,local-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,8079491,61.6416,22472868,79298838,8092694,8092694,available,0,0,unestablished
structural,none,intersection,local-frame,selected,0,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,9314257,4.44138,25916434,119800086,9330665,9330665,available,0,0,unestablished
