dataset,id,group,status,reason,pattern,like,mandatory,branches,rows,bytes,hits,like_pass,literal_pass,rich_pass,survivor_bytes,bounded_bytes,bounded_rows,intervals,bounds_re2_calls,false_negatives,exact_mismatches,bounds_mismatches
accidents,accident:0,accidents,signature,character-class,At (.+)Exit (.+),'%At _%Exit _%%' ESCAPE '!',Exit ,1,65536,4378387,7299,7299,15097,7299,304326,304326,0,7299,7299,0,0,0
accidents,accident:1,accidents,signature,character-class,(.+) on (.+) at Exit (.+),'%_% on _% at Exit _%%' ESCAPE '!', at Exit ,1,65536,4378387,83,83,90,83,9217,9217,0,83,83,0,0,0
accidents,accident:2,accidents,signature,character-class,on (.+) at (.+),'%on _% at _%%' ESCAPE '!', at ,1,65536,4378387,752,752,2513,752,90170,90170,0,752,752,0,0,0
accidents,accident:3,accidents,signature,character-class,Ramp to (.+),'%Ramp to _%%' ESCAPE '!',Ramp to ,1,65536,4378387,638,638,638,638,29314,29277,1,638,638,0,0,0
uap,device_parsers:455,device_parsers,signature,character-class;branch-budget,"; {0,2}([A-Z]{2,4})(M\d{3,}[A-Z]{2})([^;\)\/]*)(?: Build|[;\)])",'%M___%__% Build%' ESCAPE '!' OR '%M___%__%)%' ESCAPE '!' OR '%M___%__%;%' ESCAPE '!',M,3,18213,1919759,70,12459,15207,79,1647634,1624698,786,12461,12461,0,0,0
uap,device_parsers:170,device_parsers,signature,unbounded-repeat;branch-budget;character-class,"; {0,2}(?:HTC[ _/])+([^ _/]+)(?:[ _/]([^ _/]+)|)(?:[/\\]1\.0 | V|/| +)\d+\.\d[\d\.]*(?: {0,2}Build|\))",'%_%._%Build%' ESCAPE '!' OR '%_%._% Build%' ESCAPE '!' OR '%_%._%  Build%' ESCAPE '!' OR '%_%._%)%' ESCAPE '!',.,4,18213,1919759,62,13742,15970,2078,1738761,1738761,0,13742,13742,0,0,0
uap,device_parsers:171,device_parsers,signature,unbounded-repeat;branch-budget;character-class,"; {0,2}(?:HTC[ _/])+([^ _/]+)(?:[ _/]([^ _/]+)(?:[ _/]([^ _/]+)|)|)(?:[/\\]1\.0 | V|/| +)\d+\.\d[\d\.]*(?: {0,2}Build|\))",'%_%._%Build%' ESCAPE '!' OR '%_%._% Build%' ESCAPE '!' OR '%_%._%  Build%' ESCAPE '!' OR '%_%._%)%' ESCAPE '!',.,4,18213,1919759,64,13742,15970,2078,1738761,1738761,0,13742,13742,0,0,0
uap,device_parsers:172,device_parsers,signature,unbounded-repeat;branch-budget;character-class,"; {0,2}(?:HTC[ _/])+([^ _/]+)(?:[ _/]([^ _/]+)(?:[ _/]([^ _/]+)(?:[ _/]([^ _/]+)|)|)|)(?:[/\\]1\.0 | V|/| +)\d+\.\d[\d\.]*(?: {0,2}Build|\))",'%_%._%Build%' ESCAPE '!' OR '%_%._% Build%' ESCAPE '!' OR '%_%._%  Build%' ESCAPE '!' OR '%_%._%)%' ESCAPE '!',.,4,18213,1919759,66,13742,15970,2078,1738761,1738761,0,13742,13742,0,0,0
uap,device_parsers:371,device_parsers,signature,character-class;branch-budget,"; {0,2}((?:SCH|SGH|SHV|SHW|SPH|SC|SM)\-[A-Za-z0-9]{5,6})[\)]",'%;%)%' ESCAPE '!' OR '%; %)%' ESCAPE '!' OR '%;  %)%' ESCAPE '!',;,3,18213,1919759,9,12068,12268,2219,1613046,392238,12068,22899,22899,0,0,0
uap,device_parsers:275,device_parsers,signature,case-fold;character-class,"; {0,2}Micromax[ _](P\d{3}[^;/]*) Build",'% %___%%' ESCAPE '!' OR '%!_%___%%' ESCAPE '!' OR '% %___%%' ESCAPE '!' OR '%!_%___%%' ESCAPE '!' OR '% %___%%' ESCAPE '!' OR '%!_%___%%' ESCAPE '!',,6,18213,1919759,11,16109,18213,6685,1887638,1886550,62,16109,16109,0,0,0
