instance,type,launch,completion,elapsed_seconds,usd_per_hour,modeled_compute_usd
i-0294293672ee011d3,m7i.xlarge,2026-09-24T22:47:55+00:00,1790290589.585962,514.5859620571136,0.2016,0.028816813875198362
i-09489f643e30f4329,m7i.xlarge,2026-09-24T22:48:15+00:00,1790290589.5005448,494.50054478645325,0.2016,0.02769203050804138
i-03f16e4c9c67ce18d,m7i.xlarge,2026-09-24T22:48:37+00:00,1790290589.46653,472.46653008461,0.2016,0.02645812568473816
i-03546358de057f8b8,m7i.xlarge,2026-09-24T22:48:59+00:00,1790290589.8223445,450.8223445415497,0.2016,0.025246051294326784
i-0b2c4aa81f28e522a,i4i.xlarge,2026-09-24T22:49:18+00:00,1790290590.1520028,432.1520028114319,0.343,0.041174482490089204
i-05cb896e0c6d06028,i4i.xlarge,2026-09-24T22:49:39+00:00,1790290590.111631,411.11163091659546,0.343,0.03916980261233118
i-0fabcea2ea586db9d,m7i.xlarge,2026-09-24T22:50:03+00:00,1790290589.3903406,386.39034056663513,0.2016,0.021637859071731567
i-07e7e8a749c8d4b54,m7i.xlarge,2026-09-24T22:50:28+00:00,1790290589.8025208,361.8025207519531,0.2016,0.020260941162109376
i-0be13634451694896,m7i.xlarge,2026-09-24T22:50:54+00:00,1790290590.0921137,336.0921137332916,0.2016,0.01882115836906433
i-0de0999180fbb8884,m7i.xlarge,2026-09-24T22:51:21+00:00,1790290589.7639441,308.76394414901733,0.2016,0.017290780872344973
i-0775064dcb29d4011,m7i.xlarge,2026-09-24T22:51:49+00:00,1790290590.1557887,281.15578866004944,0.2016,0.015744724164962767
i-0f204680569bcc337,m7i.xlarge,2026-09-24T22:52:18+00:00,1790290589.7360473,251.73604726791382,0.2016,0.014097218647003175
