protocol,node,destination,repeat,mtu,bytes,started,ended,file,expected_fit,requested,returncode,verified_local_rejection
icmp,0,2,0,9001,8974,1789399594.4730952,1789399594.5082312,r0-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,0,3,0,9001,8974,1789399622.2921252,1789399622.3271341,r0-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,0,1,0,9001,8974,1789399639.7310503,1789399639.766125,r0-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,0,3,1,9001,8974,1789399667.6441076,1789399667.6792412,r1-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,0,1,1,9001,8974,1789399685.101645,1789399685.136127,r1-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,0,4,1,9001,8974,1789399709.8984704,1789399709.9331043,r1-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,0,5,1,9001,8974,1789399732.4399722,1789399732.475127,r1-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,0,2,1,9001,8974,1789399755.3715303,1789399755.4061098,r1-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,0,3,1,1500,1473,1789399779.8083584,1789399779.8431294,r1-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,0,3,1,1500,8973,1789399779.8452609,1789399779.8801484,r1-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,0,3,1,1500,8974,1789399779.8824353,1789399779.9171312,r1-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,0,1,1,1500,1473,1789399793.684767,1789399793.7201035,r1-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,0,1,1,1500,8973,1789399793.722081,1789399793.7571566,r1-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,0,1,1,1500,8974,1789399793.7596645,1789399793.794129,r1-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,0,4,1,1500,1473,1789399814.739623,1789399814.7742052,r1-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,0,4,1,1500,8973,1789399814.7768996,1789399814.8121603,r1-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,0,4,1,1500,8974,1789399814.8142607,1789399814.8491378,r1-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,0,5,1,1500,1473,1789399834.0058575,1789399834.0411167,r1-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,0,5,1,1500,8973,1789399834.043104,1789399834.0781431,r1-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,0,5,1,1500,8974,1789399834.0801618,1789399834.1151476,r1-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,0,2,1,1500,1473,1789399853.3891528,1789399853.4241426,r1-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,0,2,1,1500,8973,1789399853.4266005,1789399853.4611955,r1-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,0,2,1,1500,8974,1789399853.4639695,1789399853.4992082,r1-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,0,5,2,1500,1473,1789399872.8667693,1789399872.9021592,r2-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,0,5,2,1500,8973,1789399872.9042284,1789399872.939116,r2-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,0,5,2,1500,8974,1789399872.9413517,1789399872.9760754,r2-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,0,3,2,1500,1473,1789399896.7394688,1789399896.7742617,r2-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,0,3,2,1500,8973,1789399896.7765481,1789399896.811204,r2-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,0,3,2,1500,8974,1789399896.81395,1789399896.8496053,r2-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,0,1,2,1500,1473,1789399910.690486,1789399910.725236,r2-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,0,1,2,1500,8973,1789399910.7277513,1789399910.763676,r2-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,0,1,2,1500,8974,1789399910.765312,1789399910.8001854,r2-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,0,4,2,1500,1473,1789399931.8244228,1789399931.8591769,r2-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,0,4,2,1500,8973,1789399931.8619597,1789399931.8971407,r2-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,0,4,2,1500,8974,1789399931.899246,1789399931.93423,r2-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,0,2,2,1500,1473,1789399951.1381123,1789399951.1731596,r2-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,0,2,2,1500,8973,1789399951.1750886,1789399951.2101452,r2-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,0,2,2,1500,8974,1789399951.2129161,1789399951.2489302,r2-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,0,5,2,9001,8974,1789399974.824545,1789399974.8591523,r2-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,0,3,2,9001,8974,1789400002.323273,1789400002.35826,r2-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,0,1,2,9001,8974,1789400019.7262561,1789400019.7611558,r2-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,0,4,2,9001,8974,1789400044.1732543,1789400044.208656,r2-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,0,2,2,9001,8974,1789400067.2794037,1789400067.3141258,r2-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,1,2,0,1500,1473,1789399448.2803197,1789399448.3150673,r0-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,1,2,0,1500,8973,1789399448.3178148,1789399448.351976,r0-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,1,2,0,1500,8974,1789399448.3552494,1789399448.3899689,r0-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,1,4,0,1500,1473,1789399467.7156734,1789399467.7500405,r0-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,1,4,0,1500,8973,1789399467.752579,1789399467.786985,r0-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,1,4,0,1500,8974,1789399467.789721,1789399467.8239553,r0-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,1,3,0,1500,1473,1789399487.0807946,1789399487.1160429,r0-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,1,3,0,1500,8973,1789399487.1180668,1789399487.152981,r0-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,1,3,0,1500,8974,1789399487.1552653,1789399487.189969,r0-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,1,5,0,1500,1473,1789399509.6688066,1789399509.7041533,r0-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,1,5,0,1500,8973,1789399509.7059298,1789399509.741074,r0-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,1,5,0,1500,8974,1789399509.7435958,1789399509.7780175,r0-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,1,0,0,1500,1473,1789399523.735688,1789399523.771026,r0-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,1,0,0,1500,8973,1789399523.7731552,1789399523.807985,r0-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,1,0,0,1500,8974,1789399523.8105702,1789399523.8449728,r0-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,1,2,0,9001,8974,1789399549.1250525,1789399549.1599965,r0-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,1,4,0,9001,8974,1789399571.5502286,1789399571.585035,r0-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,1,3,0,9001,8974,1789399594.4730737,1789399594.507994,r0-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,1,5,0,9001,8974,1789399622.2921603,1789399622.3270795,r0-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,1,0,0,9001,8974,1789399639.7310884,1789399639.7660515,r0-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,1,5,1,9001,8974,1789399667.6440532,1789399667.6790345,r1-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,1,0,1,9001,8974,1789399685.1014926,1789399685.1360848,r1-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,1,2,1,9001,8974,1789399709.8986459,1789399709.9330308,r1-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,1,4,1,9001,8974,1789399732.4405444,1789399732.4749978,r1-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,1,3,1,9001,8974,1789399755.3716147,1789399755.4059885,r1-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,1,5,1,1500,1473,1789399779.808407,1789399779.84299,r1-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,1,5,1,1500,8973,1789399779.8451123,1789399779.8799593,r1-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,1,5,1,1500,8974,1789399779.8823688,1789399779.916961,r1-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,1,0,1,1500,1473,1789399793.684746,1789399793.7200348,r1-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,1,0,1,1500,8973,1789399793.7218416,1789399793.7580235,r1-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,1,0,1,1500,8974,1789399793.7593741,1789399793.7939909,r1-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,1,2,1,1500,1473,1789399814.7394228,1789399814.774053,r1-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,1,2,1,1500,8973,1789399814.7770271,1789399814.8120565,r1-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,1,2,1,1500,8974,1789399814.814189,1789399814.8490572,r1-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,1,4,1,1500,1473,1789399834.0059292,1789399834.041016,r1-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,1,4,1,1500,8973,1789399834.0432794,1789399834.0779622,r1-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,1,4,1,1500,8974,1789399834.0802653,1789399834.114961,r1-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,1,3,1,1500,1473,1789399853.3889017,1789399853.4239902,r1-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,1,3,1,1500,8973,1789399853.4267747,1789399853.4619725,r1-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,1,3,1,1500,8974,1789399853.4637651,1789399853.498961,r1-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,1,4,2,1500,1473,1789399872.8670287,1789399872.9020793,r2-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,1,4,2,1500,8973,1789399872.9040606,1789399872.9390423,r2-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,1,4,2,1500,8974,1789399872.9417503,1789399872.9760346,r2-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,1,5,2,1500,1473,1789399896.7391095,1789399896.7740347,r2-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,1,5,2,1500,8973,1789399896.776688,1789399896.8109703,r2-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,1,5,2,1500,8974,1789399896.8139057,1789399896.8479583,r2-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,1,0,2,1500,1473,1789399910.690432,1789399910.724999,r2-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,1,0,2,1500,8973,1789399910.7277453,1789399910.7619593,r2-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,1,0,2,1500,8974,1789399910.7651176,1789399910.7999623,r2-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,1,2,2,1500,1473,1789399931.824347,1789399931.8591125,r2-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,1,2,2,1500,8973,1789399931.8620474,1789399931.8969734,r2-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,1,2,2,1500,8974,1789399931.8992627,1789399931.9339583,r2-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,1,3,2,1500,1473,1789399951.1379464,1789399951.1730578,r2-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,1,3,2,1500,8973,1789399951.1750436,1789399951.2100236,r2-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,1,3,2,1500,8974,1789399951.2127726,1789399951.247033,r2-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,1,4,2,9001,8974,1789399974.8245366,1789399974.8590057,r2-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,1,5,2,9001,8974,1789400002.3233113,1789400002.3580427,r2-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,1,0,2,9001,8974,1789400019.726206,1789400019.7610412,r2-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,1,2,2,9001,8974,1789400044.1732483,1789400044.2080133,r2-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,1,3,2,9001,8974,1789400067.2794962,1789400067.3140225,r2-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,2,1,0,1500,1473,1789399448.2805586,1789399448.3146584,r0-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,2,1,0,1500,8973,1789399448.317995,1789399448.3526108,r0-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,2,1,0,1500,8974,1789399448.355027,1789399448.3896134,r0-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,2,3,0,1500,1473,1789399467.7154016,1789399467.749622,r0-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,2,3,0,1500,8973,1789399467.7526443,1789399467.7876,r0-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,2,3,0,1500,8974,1789399467.7898364,1789399467.8255904,r0-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,2,0,0,1500,1473,1789399487.0808697,1789399487.1156726,r0-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,2,0,0,1500,8973,1789399487.1180708,1789399487.1526146,r0-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,2,0,0,1500,8974,1789399487.155244,1789399487.1896098,r0-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,2,4,0,1500,1473,1789399509.66884,1789399509.7036593,r0-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,2,4,0,1500,8973,1789399509.7061143,1789399509.7406137,r0-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,2,4,0,1500,8974,1789399509.743858,1789399509.7796075,r0-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,2,5,0,1500,1473,1789399523.735814,1789399523.7706022,r0-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,2,5,0,1500,8973,1789399523.7731454,1789399523.807599,r0-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,2,5,0,1500,8974,1789399523.8105028,1789399523.844601,r0-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,2,1,0,9001,8974,1789399549.125373,1789399549.1596193,r0-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,2,3,0,9001,8974,1789399571.550611,1789399571.5856092,r0-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,2,0,0,9001,8974,1789399594.4730098,1789399594.5076132,r0-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,2,4,0,9001,8974,1789399622.29203,1789399622.3266115,r0-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,2,5,0,9001,8974,1789399639.7313697,1789399639.7656252,r0-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,2,4,1,9001,8974,1789399667.6442106,1789399667.678624,r1-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,2,5,1,9001,8974,1789399685.1018915,1789399685.1366134,r1-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,2,1,1,9001,8974,1789399709.8989186,1789399709.9336135,r1-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,2,3,1,9001,8974,1789399732.440296,1789399732.4746218,r1-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,2,0,1,9001,8974,1789399755.3715677,1789399755.405636,r1-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,2,4,1,1500,1473,1789399779.80846,1789399779.8426309,r1-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,2,4,1,1500,8973,1789399779.8450584,1789399779.8796105,r1-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,2,4,1,1500,8974,1789399779.8824003,1789399779.9166057,r1-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,2,5,1,1500,1473,1789399793.6846082,1789399793.7196076,r1-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,2,5,1,1500,8973,1789399793.721965,1789399793.756605,r1-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,2,5,1,1500,8974,1789399793.7595768,1789399793.7936056,r1-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,2,1,1,1500,1473,1789399814.739866,1789399814.7746015,r1-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,2,1,1,1500,8973,1789399814.7771273,1789399814.811604,r1-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,2,1,1,1500,8974,1789399814.814382,1789399814.8485975,r1-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,2,3,1,1500,1473,1789399834.0058877,1789399834.0406063,r1-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,2,3,1,1500,8973,1789399834.043095,1789399834.0776076,r1-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,2,3,1,1500,8974,1789399834.0802007,1789399834.1146026,r1-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,2,0,1,1500,1473,1789399853.3897364,1789399853.4246058,r1-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,2,0,1,1500,8973,1789399853.4264991,1789399853.460601,r1-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,2,0,1,1500,8974,1789399853.46409,1789399853.4985983,r1-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,2,3,2,1500,1473,1789399872.8668356,1789399872.9016094,r2-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,2,3,2,1500,8973,1789399872.9045277,1789399872.9386015,r2-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,2,3,2,1500,8974,1789399872.9415922,1789399872.9756067,r2-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,2,4,2,1500,1473,1789399896.739292,1789399896.7736108,r2-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,2,4,2,1500,8973,1789399896.7767227,1789399896.8116121,r2-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,2,4,2,1500,8974,1789399896.8140955,1789399896.848608,r2-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,2,5,2,1500,1473,1789399910.6905546,1789399910.7246141,r2-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,2,5,2,1500,8973,1789399910.7281015,1789399910.7626085,r2-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,2,5,2,1500,8974,1789399910.7653763,1789399910.7995975,r2-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,2,1,2,1500,1473,1789399931.8246992,1789399931.8596122,r2-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,2,1,2,1500,8973,1789399931.8618343,1789399931.8965983,r2-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,2,1,2,1500,8974,1789399931.899502,1789399931.9335964,r2-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,2,0,2,1500,1473,1789399951.1379921,1789399951.1726093,r2-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,2,0,2,1500,8973,1789399951.1757946,1789399951.2106013,r2-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,2,0,2,1500,8974,1789399951.2129197,1789399951.2476037,r2-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,2,3,2,9001,8974,1789399974.8247647,1789399974.8596168,r2-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,2,4,2,9001,8974,1789400002.3232775,1789400002.3576195,r2-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,2,5,2,9001,8974,1789400019.7263877,1789400019.760636,r2-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,2,1,2,9001,8974,1789400044.1735828,1789400044.2087083,r2-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,2,0,2,9001,8974,1789400067.2794023,1789400067.314662,r2-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,3,5,0,1500,1473,1789399448.2803857,1789399448.3157923,r0-mtu1500-m1-icmp1473.txt.gz,False,3,1,True
icmp,3,5,0,1500,8973,1789399448.317842,1789399448.3527288,r0-mtu1500-m1-icmp8973.txt.gz,False,3,1,True
icmp,3,5,0,1500,8974,1789399448.3551278,1789399448.3896742,r0-mtu1500-m1-icmp8974.txt.gz,False,3,1,True
icmp,3,2,0,1500,1473,1789399467.7155693,1789399467.7506487,r0-mtu1500-m0-icmp1473.txt.gz,False,3,1,True
icmp,3,2,0,1500,8973,1789399467.7527533,1789399467.7875853,r0-mtu1500-m0-icmp8973.txt.gz,False,3,1,True
icmp,3,2,0,1500,8974,1789399467.7899356,1789399467.8245773,r0-mtu1500-m0-icmp8974.txt.gz,False,3,1,True
icmp,3,1,0,1500,1473,1789399487.0808775,1789399487.115689,r0-mtu1500-m3-icmp1473.txt.gz,False,3,1,True
icmp,3,1,0,1500,8973,1789399487.117916,1789399487.1526089,r0-mtu1500-m3-icmp8973.txt.gz,False,3,1,True
icmp,3,1,0,1500,8974,1789399487.1553807,1789399487.1895978,r0-mtu1500-m3-icmp8974.txt.gz,False,3,1,True
icmp,3,0,0,1500,1473,1789399509.6688123,1789399509.703686,r0-mtu1500-m2-icmp1473.txt.gz,False,3,1,True
icmp,3,0,0,1500,8973,1789399509.7062147,1789399509.7405996,r0-mtu1500-m2-icmp8973.txt.gz,False,3,1,True
icmp,3,0,0,1500,8974,1789399509.7436733,1789399509.778595,r0-mtu1500-m2-icmp8974.txt.gz,False,3,1,True
icmp,3,4,0,1500,1473,1789399523.7357395,1789399523.770631,r0-mtu1500-m4-icmp1473.txt.gz,False,3,1,True
icmp,3,4,0,1500,8973,1789399523.773025,1789399523.807596,r0-mtu1500-m4-icmp8973.txt.gz,False,3,1,True
icmp,3,4,0,1500,8974,1789399523.810141,1789399523.8446114,r0-mtu1500-m4-icmp8974.txt.gz,False,3,1,True
icmp,3,5,0,9001,8974,1789399549.125319,1789399549.160637,r0-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,3,2,0,9001,8974,1789399571.5503545,1789399571.5856178,r0-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,3,1,0,9001,8974,1789399594.4729483,1789399594.5076332,r0-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
icmp,3,0,0,9001,8974,1789399622.2922778,1789399622.32663,r0-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,3,4,0,9001,8974,1789399639.7310135,1789399639.7656271,r0-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,3,0,1,9001,8974,1789399667.643802,1789399667.6786337,r1-mtu9001-m2-icmp8974.txt.gz,False,3,1,True
icmp,3,4,1,9001,8974,1789399685.101426,1789399685.1366377,r1-mtu9001-m4-icmp8974.txt.gz,False,3,1,True
icmp,3,5,1,9001,8974,1789399709.8984232,1789399709.9346328,r1-mtu9001-m1-icmp8974.txt.gz,False,3,1,True
icmp,3,2,1,9001,8974,1789399732.439953,1789399732.474633,r1-mtu9001-m0-icmp8974.txt.gz,False,3,1,True
icmp,3,1,1,9001,8974,1789399755.3713543,1789399755.4066494,r1-mtu9001-m3-icmp8974.txt.gz,False,3,1,True
